,TID,FKMED,INDHOLD
0,2007K1,Medlem af Folkekirken,4499343
1,2007K1,Ikke medlem af Folkekirken,945871
2,2007K2,Medlem af Folkekirken,4496926
3,2007K2,Ikke medlem af Folkekirken,954420
4,2007K3,Medlem af Folkekirken,4497951
5,2007K3,Ikke medlem af Folkekirken,959464
6,2007K4,Medlem af Folkekirken,4498876
7,2007K4,Ikke medlem af Folkekirken,972043
8,2008K1,Medlem af Folkekirken,4494589
9,2008K1,Ikke medlem af Folkekirken,981202
10,2008K2,Medlem af Folkekirken,4493187
11,2008K2,Ikke medlem af Folkekirken,989079
12,2008K3,Medlem af Folkekirken,4493841
13,2008K3,Ikke medlem af Folkekirken,995181
14,2008K4,Medlem af Folkekirken,4494202
15,2008K4,Ikke medlem af Folkekirken,1011793
16,2009K1,Medlem af Folkekirken,4490121
17,2009K1,Ikke medlem af Folkekirken,1021330
18,2009K2,Medlem af Folkekirken,4485275
19,2009K2,Ikke medlem af Folkekirken,1030012
20,2009K3,Medlem af Folkekirken,4485682
21,2009K3,Ikke medlem af Folkekirken,1033759
22,2009K4,Medlem af Folkekirken,4484368
23,2009K4,Ikke medlem af Folkekirken,1048163
24,2010K1,Medlem af Folkekirken,4479214
25,2010K1,Ikke medlem af Folkekirken,1055524
26,2010K2,Medlem af Folkekirken,4474553
27,2010K2,Ikke medlem af Folkekirken,1065688
28,2010K3,Medlem af Folkekirken,4474541
29,2010K3,Ikke medlem af Folkekirken,1069278
30,2010K4,Medlem af Folkekirken,4473576
31,2010K4,Ikke medlem af Folkekirken,1084133
32,2011K1,Medlem af Folkekirken,4469109
33,2011K1,Ikke medlem af Folkekirken,1091519
34,2011K2,Medlem af Folkekirken,4464103
35,2011K2,Ikke medlem af Folkekirken,1100116
36,2011K3,Medlem af Folkekirken,4463981
37,2011K3,Ikke medlem af Folkekirken,1102875
38,2011K4,Medlem af Folkekirken,4461071
39,2011K4,Ikke medlem af Folkekirken,1118133
40,2012K1,Medlem af Folkekirken,4454466
41,2012K1,Ikke medlem af Folkekirken,1126050
42,2012K2,Medlem af Folkekirken,4446782
43,2012K2,Ikke medlem af Folkekirken,1137976
44,2012K3,Medlem af Folkekirken,4441741
45,2012K3,Ikke medlem af Folkekirken,1145344
46,2012K4,Medlem af Folkekirken,4437149
47,2012K4,Ikke medlem af Folkekirken,1162516
48,2013K1,Medlem af Folkekirken,4430643
49,2013K1,Ikke medlem af Folkekirken,1171985
50,2013K2,Medlem af Folkekirken,4423967
51,2013K2,Ikke medlem af Folkekirken,1181869
52,2013K3,Medlem af Folkekirken,4421511
53,2013K3,Ikke medlem af Folkekirken,1187273
54,2013K4,Medlem af Folkekirken,4418730
55,2013K4,Ikke medlem af Folkekirken,1204771
56,2014K1,Medlem af Folkekirken,4413825
57,2014K1,Ikke medlem af Folkekirken,1213410
58,2014K2,Medlem af Folkekirken,4409203
59,2014K2,Ikke medlem af Folkekirken,1225234
60,2014K3,Medlem af Folkekirken,4408785
61,2014K3,Ikke medlem af Folkekirken,1230934
62,2014K4,Medlem af Folkekirken,4405646
63,2014K4,Ikke medlem af Folkekirken,1250104
64,2015K1,Medlem af Folkekirken,4400754
65,2015K1,Ikke medlem af Folkekirken,1258961
66,2015K2,Medlem af Folkekirken,4395559
67,2015K2,Ikke medlem af Folkekirken,1273184
68,2015K3,Medlem af Folkekirken,4394869
69,2015K3,Ikke medlem af Folkekirken,1283479
70,2015K4,Medlem af Folkekirken,4392375
71,2015K4,Ikke medlem af Folkekirken,1306845
72,2016K1,Medlem af Folkekirken,4387571
73,2016K1,Ikke medlem af Folkekirken,1319680
74,2016K2,Medlem af Folkekirken,4382022
75,2016K2,Ikke medlem af Folkekirken,1334992
76,2016K3,Medlem af Folkekirken,4373468
77,2016K3,Ikke medlem af Folkekirken,1350988
78,2016K4,Medlem af Folkekirken,4368185
79,2016K4,Ikke medlem af Folkekirken,1377341
80,2017K1,Medlem af Folkekirken,4361518
81,2017K1,Ikke medlem af Folkekirken,1387251
82,2017K2,Medlem af Folkekirken,4353984
83,2017K2,Ikke medlem af Folkekirken,1402186
84,2017K3,Medlem af Folkekirken,4352610
85,2017K3,Ikke medlem af Folkekirken,1408084
86,2017K4,Medlem af Folkekirken,4349449
87,2017K4,Ikke medlem af Folkekirken,1429121
88,2018K1,Medlem af Folkekirken,4352507
89,2018K1,Ikke medlem af Folkekirken,1428683
90,2018K2,Medlem af Folkekirken,4347018
91,2018K2,Ikke medlem af Folkekirken,1438846
92,2018K3,Medlem af Folkekirken,4346648
93,2018K3,Ikke medlem af Folkekirken,1443309
94,2018K4,Medlem af Folkekirken,4344326
95,2018K4,Ikke medlem af Folkekirken,1461689
96,2019K1,Medlem af Folkekirken,4339511
97,2019K1,Ikke medlem af Folkekirken,1466570
98,2019K2,Medlem af Folkekirken,4334981
99,2019K2,Ikke medlem af Folkekirken,1476432
100,2019K3,Medlem af Folkekirken,4334713
101,2019K3,Ikke medlem af Folkekirken,1479748
102,2019K4,Medlem af Folkekirken,4332110
103,2019K4,Ikke medlem af Folkekirken,1495353
104,2020K1,Medlem af Folkekirken,4327018
105,2020K1,Ikke medlem af Folkekirken,1495745
106,2020K2,Medlem af Folkekirken,4321796
107,2020K2,Ikke medlem af Folkekirken,1503061
