,title,abstract,link,volume,abstract_lemma
0,Norwegian Muslims denouncing terrorism: beyond ‘moderate’ versus ‘radical’?,"In contemporary European societies, Muslims are often viewed through a binary frame of ‘moderate’ versus ‘radical’. This article aims to deconstruct the dichotomy of ‘moderate’ versus ‘radical’, and to explore how Muslims uphold, appropriate or subvert this binary frame. It takes up three case studies of public events organized in the city center of Oslo, Norway, by Muslims who wanted to make explicit statements against violence committed in the name of Islam. Based on participant observation, qualitative interviews with the organizers and a large collection of news reports and opinion pieces, the author demonstrates that these statements can be seen as a ‘multiple critique’: against terrorism, against stereotypical representations of Muslims and Islam, and (in some cases) also against the ‘moderate/radical’ dichotomy. This article critically addresses the pressure on Muslims to prove that they are peaceful and loyal citizens, and examines the relationship between the ‘Muslim Question’ and contestations about ‘true’ Islam.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2021.1865600,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,in contemporary european society Muslims be often view through a binary frame of moderate versus radical this article aim to deconstruct the dichotomy of moderate versus radical and to explore how Muslims uphold appropriate or subvert this binary frame it take up three case study of public event organize in the city center of Oslo Norway by Muslims who want to make explicit statement against violence commit in the name of Islam base on participant observation qualitative interview with the organizer and a large collection of news report and opinion piece the author demonstrate that these statement can be see as a multiple critique against terrorism against stereotypical representation of Muslims and Islam and in some case also against the moderate radical dichotomy this article critically address the pressure on Muslims to prove that they be peaceful and loyal citizen and examine the relationship between the Muslim question and contestation about true Islam 
1,"A comparative analysis of three Sunni Muslim organizations on ‘moderate’ and ‘radical’ Islam in Egypt, Morocco and Indonesia","The distinction between ‘moderate’ and ‘radical’ Islam has played a key role in tackling contemporary militant religious extremism. This article examines three prominent Sunni Muslim institutions that uphold this distinction and present themselves as the peaceful and moderate voices of ‘true Islam’, namely al-Azhar al-Sharīf of Egypt, Nahdlatul Ulama of Indonesia and al-Rabita al-Muhammadiyya lil-‘Ulama’ of Morocco. The article provides a critical, comparative analysis of their religious discourses and theological strategies in developing an ‘exceptional’ and ‘moderate’ Sunni response to jihadist militancy, particularly after the emergence of the so-called ‘Islamic State’ in Syria and Iraq (IS). It demonstrates that each institution has developed its own brand of moderateness with different motivations, argumentations, content and religious justifications. As such, this article challenges the moderate-versus-radical dichotomy by revealing that there are multiple discourses on moderation, instead of it being one single and coherent moderate bloc.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1868383,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,the distinction between moderate and radical Islam have play a key role in tackle contemporary militant religious extremism this article examine three prominent Sunni muslim institution that uphold this distinction and present themselves as the peaceful and moderate voice of true Islam namely al Azhar al Sharīf of Egypt Nahdlatul Ulama of Indonesia and al Rabita al Muhammadiyya lilUlama of Morocco the article provide a critical comparative analysis of their religious discourse and theological strategy in develop an exceptional and moderate sunni response to jihadist militancy particularly after the emergence of the so call Islamic State in Syria and Iraq IS it demonstrate that each institution have develop its own brand of moderateness with different motivation argumentation content and religious justification as such this article challenge the moderate versus radical dichotomy by reveal that there be multiple discourse on moderation instead of it be one single and coherent moderate bloc 
2,Musical negotiations of a ‘moderate’ versus a ‘radical’ Islam in Morocco: dissonance and the sonic among vocal performers of Islam-inspired music,"This article explores how in Morocco, music is used to construct and subvert discourses on a ‘moderate’ vs. a ‘radical’ Islam. I focus on experiences and practices of vocal performers of Islam-inspired music, who operate in two different musical domains: state-sponsored stages for Sufi music, and non-state-sponsored stages for anashid – acapella Islamic songs, generally associated with more orthodox interpretations of Islam. Based on extensive ethnographic fieldwork among these artists, I analyze how the Moroccan response to the War on Terror, and concomitant perceptions of ‘radical’ versus ‘moderate’ Islam, affect the ways in which they present themselves and their music. I propose the notion of ‘dissonance’ to demonstrate how the artists’ musical practices, as well as their narratives of performance, ethics, and emotions converge with, yet simultaneously also rub against state discourses on a ‘moderate’ vs. a ‘radical’ Islam.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2021.1865602,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,this article explore how in Morocco music be use to construct and subvert discourse on a moderate vs a radical Islam I focus on experience and practice of vocal performer of Islam inspire music who operate in two different musical domain state sponsor stage for Sufi music and non state sponsor stage for anashid acapella islamic song generally associate with more orthodox interpretation of Islam base on extensive ethnographic fieldwork among these artist I analyze how the moroccan response to the War on Terror and concomitant perception of radical versus moderate Islam affect the way in which they present themselves and their music I propose the notion of dissonance to demonstrate how the artist musical practice as well as their narrative of performance ethic and emotion converge with yet simultaneously also rub against state discourse on a moderate vs a radical Islam 
3,Aesthetics of authority: ‘Islam Nusantara’ and Islamic ‘radicalism’ in Indonesian film and social media,"In Indonesia, Islamic ‘counter-terror culture’ contests Islamic ‘radicalization’. Indonesia’s largest Muslim organization, Nahdlatul Ulama (NU), takes a leading role in initiating counter-terror culture. Central to their initiatives are ideas about ‘Islam Nusantara’ (Islam of the Archipelago). This article analyzes two NU initiatives: (1) the documentary Rahmat Islam Nusantara (2015), which challenges how ‘radical’ groups interpret the Quran, and (2) the ‘cyber warrior initiative’ in which volunteers contest ‘radicalism’ on social media. The article explores how these initiatives construct ‘counternarratives’ that frame Islam Nusantara as antidote against ‘radicalism’ and analyzes how, in doing so, these initiatives negotiate the binary frame between ‘moderate’ and ‘radical’ Islam. The article proposes that Rahmat Islam Nusantara and the cyber warriors uphold this binary frame and that meanwhile, these initiatives are marked by an aesthetics of authority, which constructs traditional figures of Islamic authority as role models who can help protect the country against radicalism.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1868387,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,in Indonesia islamic counter terror culture contest Islamic radicalization Indonesia s large muslim organization Nahdlatul Ulama NU take a leading role in initiate counter terror culture central to their initiative be idea about Islam Nusantara Islam of the Archipelago this article analyze two NU initiative 1 the documentary Rahmat Islam Nusantara 2015 which challenge how radical group interpret the Quran and 2 the cyber warrior initiative in which volunteer contest radicalism on social medium the article explore how these initiative construct counternarrative that frame Islam Nusantara as antidote against radicalism and analyze how in do so these initiative negotiate the binary frame between moderate and radical Islam the article propose that Rahmat Islam Nusantara and the cyber warrior uphold this binary frame and that meanwhile these initiative be mark by an aesthetic of authority which construct traditional figure of islamic authority as role model who can help protect the country against radicalism 
4,"Countering ‘Islamic’ violent extremism? The implementation of programs to prevent radicalization by Muslim-led civil society organizations in Malindi, Kenya","This article explores how Muslim-led civil society organizations (CSOs) implement programs to Counter Violent Extremism (CVE) in Malindi, Kenya, while adapting these programs to both their local context and the CVE-policies of Western donors. So far, little research has been done on how East-African Muslims relate themselves to (global) anxieties about Islam and violent extremism. Taking theories within the anthropology of secularism as an analytical frame, I argue that although Western donors try to maintain a public stance of neutrality towards different religions, they perpetuate stigmatizing associations between Islam and terrorism by tacitly mobilizing a distinction between ‘moderate’ and ‘radical’ Muslims. Based on extensive ethnographic research, I subsequently analyze how Muslim-led CSOs strategically navigate and challenge these stigmatizing associations as they implement CVE programs in Malindi. I also show how the desire to present Islam as peaceful limits possibilities to address widespread feelings of marginalization among Kenyan Muslims.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2021.1865603,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,this article explore how Muslim lead civil society organization cso implement program to Counter violent Extremism CVE in Malindi Kenya while adapt these program to both their local context and the CVE policy of western donor so far little research have be do on how east african Muslims relate themselves to global anxiety about Islam and violent extremism take theory within the anthropology of secularism as an analytical frame I argue that although western donor try to maintain a public stance of neutrality towards different religion they perpetuate stigmatize association between Islam and terrorism by tacitly mobilize a distinction between moderate and radical Muslims base on extensive ethnographic research I subsequently analyze how Muslim lead cso strategically navigate and challenge these stigmatize association as they implement CVE program in Malindi I also show how the desire to present Islam as peaceful limit possibility to address widespread feeling of marginalization among kenyan Muslims 
5,Patriotic loyalty and interest representation among the Russian Islamic elite,"Two trends increasingly guiding the governance of Islam in Russia are political authoritarianisation and the global securitisation of Islam. Given that suspicions of loyalty so often configure in public discussions about Islam, Muslim leaders are compelled to continuously emphasise their patriotism. This article analyses recent mediated debates about Islam, in which the discursive boundary between ‘radical, non-traditional’ and ‘moderate, traditional’ Islam are being negotiated. The author argues that in the 2000s, the pressure to display loyalty has narrowed the scope of what is considered acceptable behaviour for Muslim leaders. Yet at the same time, these Muslim leaders cleverly adopt arguments and popular catchwords from the rhetoric of the political elite in order to emphasise the role of Islam in Russian society and tradition. In doing so, they seek to influence public discourse about Russian identity and defend the position of Muslims in the country.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2021.1865604,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,two trend increasingly guide the governance of Islam in Russia be political authoritarianisation and the global securitisation of Islam give that suspicion of loyalty so often configure in public discussion about Islam muslim leader be compel to continuously emphasise their patriotism this article analyse recent mediate debate about Islam in which the discursive boundary between radical non traditional and moderate traditional Islam be be negotiate the author argue that in the 2000 the pressure to display loyalty have narrow the scope of what be consider acceptable behaviour for muslim leader yet at the same time these muslim leader cleverly adopt argument and popular catchword from the rhetoric of the political elite in order to emphasise the role of Islam in russian society and tradition in do so they seek to influence public discourse about russian identity and defend the position of Muslims in the country 
6,Development as a form of religious engineering? Religion and secularity in development discourse,"The burgeoning literature on religion and development tends to frame development as a project of post-WWII secular modernism and hence postulates a new ‘discovery of religions’ in development discourse. This perception is based on a two-fold forgetfulness of history. On the one hand, the colonial genealogy of development in the ‘civilising mission’ came with a decisive Christian input. On the other hand, the notion of secular modernism conceals the conceptual interconnectedness of religion and secularity in Western debates from the neoclassical secularization theories to the recent ‘return of God’ narratives. Drawing out the contours of a long history of international development, the article argues that scholarship needs to move beyond simple diagnoses of the presence or absence of religion in development discourse, but highlight how the ideology of development has tended to follow narratives about progress and values that are closely connected to discourses about global religion and secularity.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792049,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,the burgeon literature on religion and development tend to frame development as a project of post wwii secular modernism and hence postulate a new discovery of religion in development discourse this perception be base on a two fold forgetfulness of history on the one hand the colonial genealogy of development in the civilising mission come with a decisive christian input on the other hand the notion of secular modernism conceal the conceptual interconnectedness of religion and secularity in western debate from the neoclassical secularization theory to the recent return of God narrative draw out the contour of a long history of international development the article argue that scholarship need to move beyond simple diagnosis of the presence or absence of religion in development discourse but highlight how the ideology of development have tend to follow narrative about progress and value that be closely connect to discourse about global religion and secularity 
7,"Engineering transformations in the ‘religion-development nexus’: Islamic law, reform, and reconstruction in Aceh","This article presents an exploration of the ways in which law, education, and religious propagation have been deployed as mutually reinforcing means for engineering social transformation in the Indonesian province of Aceh, and how these agendas were dramatically accelerated in the context of humanitarian and development interventions in post-conflict/post-disaster reconstruction. In doing so, it demonstrates and critically analyzes the ways in which contemporary Muslim visions of instrumentalist, future-oriented models of Islamic law have been formally implemented through the apparatus of the state as part of an over-arching project of engineering a new society, and of redefining conceptions of proper Islamic religious belief and practice. This case presents a striking instance of an agenda of religious revival envisioned not as an attempt to preserve or resuscitate established tradition, but rather as a tool in interventions for future-oriented projects for ‘improving’ the conditions of Muslims in both this world, and the next.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792051,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,this article present an exploration of the way in which law education and religious propagation have be deploy as mutually reinforce mean for engineer social transformation in the indonesian province of Aceh and how these agenda be dramatically accelerate in the context of humanitarian and development intervention in post conflict post disaster reconstruction in do so it demonstrate and critically analyze the way in which contemporary muslim vision of instrumentalist future orient model of islamic law have be formally implement through the apparatus of the state as part of an over arch project of engineer a new society and of redefine conception of proper islamic religious belief and practice this case present a strike instance of an agenda of religious revival envision not as an attempt to preserve or resuscitate establish tradition but rather as a tool in intervention for future orient project for improve the condition of Muslims in both this world and the next 
8,Engineering self and civil society: the promise of charity in Turkey,"In this article, I will show that charitable giving, along with charitable associations’ institutional practices, fashion moral, productive, and religious citizens through both intent and practice of giving. Thereby the individual donors and associations not only legitimize their aim of social transformation with reference to religious norms of giving, but at the same time also introduce new, professionalized (rationalized) forms to further develop, track, institutionalize and regulate these norms. If we define religious engineering as ‘active and conscious ways of working on the future shape of a given society’(cf. Spies and Schrode, Introduction), this article argues that the work of charitable associations and the processes of charitable giving in Turkey are practices of ‘religious engineering’ and should be analysed as such. I do this analysis through a direct focus on activities, ideas, and implementations of charitable associations and individuals.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792052,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,in this article I will show that charitable giving along with charitable association institutional practice fashion moral productive and religious citizen through both intent and practice of giving thereby the individual donor and association not only legitimize their aim of social transformation with reference to religious norm of giving but at the same time also introduce new professionalize rationalize form to far develop track institutionalize and regulate these norm if we define religious engineering as active and conscious way of work on the future shape of a give societycf spy and Schrode introduction this article argue that the work of charitable association and the process of charitable giving in Turkey be practice of religious engineering and should be analyse as such I do this analysis through a direct focus on activity idea and implementation of charitable association and individual 
9,"Becoming secular, yet remaining religious: the Gülen movement and the ‘engineering’ of the golden generation","In recent years there has been a religious turn in the development sector with the World Bank and national funding agencies in Europe and the US opening the space to Faith Based Organisations (FBOs). However, for some Islamic FBOs, this has not led to a comfortable assertion of their religious identity and mission on the world stage. Rather, in the post 9/11 environment, some Islamic FBOs have opted to develop an ‘invisible Islam’ wherein they background their religion through secularizing their language with a view to better integrating into the normative aid sector. Drawing on the work of Marie Juul Petersen and reflecting on the author’s own fieldwork on the Gülen Movement (GM), this paper will unpack this development. In doing so, it will highlight that the practice by GM is only a semantic exercise to cover its ongoing religious mission on account of continued hostility towards Islamic actors.",https://www.tandfonline.com/doi/full/10.1080/0048721X.2020.1792054,https://www.tandfonline.com/loi/rrel20?treeId=vrrel20-51,in recent year there have be a religious turn in the development sector with the World Bank and national funding agency in Europe and the US open the space to Faith Based Organisations FBOs however for some islamic fbo this have not lead to a comfortable assertion of their religious identity and mission on the world stage rather in the post 911 environment some islamic fbo have opt to develop an invisible Islam wherein they background their religion through secularize their language with a view to well integrate into the normative aid sector draw on the work of Marie Juul Petersen and reflect on the author s own fieldwork on the Gülen Movement GM this paper will unpack this development in do so it will highlight that the practice by GM be only a semantic exercise to cover its ongoing religious mission on account of continue hostility towards islamic actor 
