region_name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
 Denmark,88,88,87,88,88,90,91,92,91,90
 New Zealand,88,88,87,87,89,90,91,91,91,90
 Finland,88,85,86,85,85,89,90,89,89,90
 Singapore,85,85,85,85,84,84,85,84,86,87
 Sweden,85,85,85,85,84,88,89,87,89,88
  Switzerland,84,85,85,85,85,86,86,86,85,86
 Norway,85,84,84,84,85,85,87,86,86,85
 Netherlands,82,82,82,82,82,83,87,83,83,84
 Germany,80,80,80,80,81,81,81,79,78,79
 Luxembourg,81,80,80,81,82,81,81,82,80,80
 Australia,73,77,77,77,77,79,79,80,81,85
 Canada,74,77,77,81,82,82,83,81,81,84
 Hong Kong,76,77,76,76,77,77,75,74,75,77
 United Kingdom,78,77,77,80,82,81,81,78,76,74
 Austria,74,76,77,76,75,75,76,72,69,69
 Belgium,73,76,75,75,75,77,77,76,75,75
 Estonia,74,75,74,73,71,70,70,69,68,64
 Iceland,74,75,78,76,77,78,79,79,78,82
 Japan,73,74,73,73,73,72,75,76,74,74
 Ireland,74,72,74,73,74,73,75,74,72,69
 United Arab Emirates,69,71,71,70,71,66,70,70,69,68
 Uruguay,73,71,71,70,70,71,74,73,73,72
 France,71,69,69,72,70,69,70,69,71,71
 Bhutan,68,68,68,68,67,65,65,65,63,63
 Chile,67,67,67,67,67,66,70,73,71,72
 United States,67,67,69,71,75,74,76,74,73,73
 Seychelles,70,66,66,66,60,60,55,55,54,52
 Taiwan,68,65,65,63,63,61,62,61,61,61
 Barbados,65,64,62,68,68,61,68,74,75,76
 Bahamas,64,63,64,65,65,66,67,71,71,71
 Qatar,63,63,62,62,63,61,71,69,68,68
 South Korea,62,61,59,57,54,53,56,55,55,56
 Portugal,62,61,62,64,63,62,63,63,62,63
 Lithuania,61,60,60,59,59,59,61,58,57,54
 Spain,61,62,62,58,57,58,58,60,59,65
 Botswana,55,60,61,61,61,60,63,63,64,65
 Brunei,60,60,60,63,62,58,60,60,60,55
 Israel,59,60,60,61,62,64,61,60,61,60
 Slovenia,57,60,60,60,61,61,60,58,57,61
 Saint Vincent and the Grenadines,59,59,59,58,58,60,60,67,62,62
 Cape Verde,58,58,58,57,55,59,55,57,58,60
 Costa Rica,58,57,56,56,59,58,55,54,53,54
 Cyprus,53,57,58,59,57,55,61,63,63,66
