Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38041754
Albania,ALB,"Population, total",SP.POP.TOTL,2854191
Algeria,DZA,"Population, total",SP.POP.TOTL,43053054
American Samoa,ASM,"Population, total",SP.POP.TOTL,55312
Andorra,AND,"Population, total",SP.POP.TOTL,77142
Angola,AGO,"Population, total",SP.POP.TOTL,31825295
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,97118
Argentina,ARG,"Population, total",SP.POP.TOTL,44938712
Armenia,ARM,"Population, total",SP.POP.TOTL,2957731
Aruba,ABW,"Population, total",SP.POP.TOTL,106314
Australia,AUS,"Population, total",SP.POP.TOTL,25364307
Austria,AUT,"Population, total",SP.POP.TOTL,8877067
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10023318
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,389482
Bahrain,BHR,"Population, total",SP.POP.TOTL,1641172
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163046161
Barbados,BRB,"Population, total",SP.POP.TOTL,287025
Belarus,BLR,"Population, total",SP.POP.TOTL,9466856
Belgium,BEL,"Population, total",SP.POP.TOTL,11484055
Belize,BLZ,"Population, total",SP.POP.TOTL,390353
Benin,BEN,"Population, total",SP.POP.TOTL,11801151
Bermuda,BMU,"Population, total",SP.POP.TOTL,63918
Bhutan,BTN,"Population, total",SP.POP.TOTL,763092
Bolivia,BOL,"Population, total",SP.POP.TOTL,11513100
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3301000
Botswana,BWA,"Population, total",SP.POP.TOTL,2303697
Brazil,BRA,"Population, total",SP.POP.TOTL,211049527
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30030
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,433285
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20321378
Burundi,BDI,"Population, total",SP.POP.TOTL,11530580
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,549935
Cambodia,KHM,"Population, total",SP.POP.TOTL,16486542
Cameroon,CMR,"Population, total",SP.POP.TOTL,25876380
Canada,CAN,"Population, total",SP.POP.TOTL,37589262
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64948
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4745185
Chad,TCD,"Population, total",SP.POP.TOTL,15946876
Channel Islands,CHI,"Population, total",SP.POP.TOTL,172259
Chile,CHL,"Population, total",SP.POP.TOTL,18952038
China,CHN,"Population, total",SP.POP.TOTL,1397715000
Colombia,COL,"Population, total",SP.POP.TOTL,50339443
Comoros,COM,"Population, total",SP.POP.TOTL,850886
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,86790567
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5380508
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5047561
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,25716544
Croatia,HRV,"Population, total",SP.POP.TOTL,4067500
Cuba,CUB,"Population, total",SP.POP.TOTL,11333483
Curacao,CUW,"Population, total",SP.POP.TOTL,157538
Cyprus,CYP,"Population, total",SP.POP.TOTL,1198575
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10669709
Denmark,DNK,"Population, total",SP.POP.TOTL,5818553
Djibouti,DJI,"Population, total",SP.POP.TOTL,973560
Dominica,DMA,"Population, total",SP.POP.TOTL,71808
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10738958
Ecuador,ECU,"Population, total",SP.POP.TOTL,17373662
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,100388073
El Salvador,SLV,"Population, total",SP.POP.TOTL,6453553
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1355986
Eritrea,ERI,"Population, total",SP.POP.TOTL,..
