id,text,unit,updated,firstPeriod,latestPeriod,active,variables
FOLK1A,Folketal den 1. i kvartalet,antal,2021-02-11T08:00:00,2008K1,2021K1,True,"['område', 'køn', 'alder', 'civilstand', 'tid']"
FOLK1B,Folketal den 1. i kvartalet,antal,2021-02-11T08:00:00,2008K1,2021K1,True,"['område', 'køn', 'alder', 'statsborgerskab', 'tid']"
FOLK1C,Folketal den 1. i kvartalet,antal,2021-02-11T08:00:00,2008K1,2021K1,True,"['område', 'køn', 'alder', 'herkomst', 'oprindelsesland', 'tid']"
FOLK1D,Folketal den 1. i kvartalet,antal,2021-02-11T08:00:00,2008K1,2021K1,True,"['område', 'køn', 'alder', 'statsborgerskab', 'tid']"
FOLK1E,Folketal den 1. i kvartalet,antal,2021-02-11T08:00:00,2008K1,2021K1,True,"['område', 'køn', 'alder', 'herkomst', 'tid']"
FOLK2,Folketal 1. januar,antal,2021-02-11T08:00:00,1980,2021,True,"['alder', 'køn', 'herkomst', 'statsborgerskab', 'oprindelsesland', 'tid']"
KRYDS1,Folketal 1. januar,antal,2021-02-11T08:00:00,2019,2021,True,"['Hovedpersons herkomst', 'Hovedpersons fødeland', 'Hovedpersons statsborgerskab', 'Moders fødeland', 'moders statsborgerskab', 'Faders fødeland', 'faders statsborgerskab', 'tid']"
KRYDS2,Personer med dansk oprindelse 1. januar,antal,2021-02-11T08:00:00,2019,2021,True,"['Hovedpersons fødeland', 'forældres fødeland og statsborgerskab', 'hovedpersonens alder', 'tid']"
KRYDS3,Folketal 1. januar,antal,2021-02-11T08:00:00,2019,2021,True,"['Hovedpersons herkomst', 'Hovedpersons fødeland', 'Moders fødeland', 'Faders fødeland', 'tid']"
KRYDS4,Folketal 1. januar,antal,2021-02-11T08:00:00,2019,2021,True,"['Hovedpersons herkomst', 'forældres fødeland og statsborgerskab', 'hovedpersonens alder', 'tid']"
FOLK3,Folketal 1. januar,antal,2021-02-11T08:00:00,2008,2021,True,"['fødselsdag', 'fødselsmåned', 'fødselsår', 'tid']"
FT,Folketal (summariske tal fra folketællinger),antal,2021-02-11T08:00:00,1769,2021,True,"['hovedlandsdele', 'tid']"
BEF5F,Personer født på Færøerne og bosat i Danmark 1. januar,antal,2021-02-11T08:00:00,2008,2021,True,"['køn', 'alder', 'forældrenes fødested', 'tid']"
BEF5G,Personer født i Grønland og bosat i Danmark 1. januar,antal,2021-02-11T08:00:00,2008,2021,True,"['køn', 'alder', 'forældrenes fødested', 'tid']"
BEF5,Folketal pr. 1. januar,antal,2021-02-11T08:00:00,1990,2021,True,"['køn', 'alder', 'fødeland', 'tid']"
BY3,Folketal 1. januar,-,2020-06-11T08:00:00,2017,2020,True,"['byområder og landdistrikter', 'folketal, areal og befolkningstæthed', 'tid']"
BY1,Folketal 1. januar,antal,2020-04-29T08:00:00,2010,2020,True,"['byområder og landdistrikter', 'alder', 'køn', 'tid']"
BY4,Husstande 1. januar,antal,2020-04-29T08:00:00,2010,2020,True,"['byområder og landdistrikter', 'husstandstype', 'antal børn', 'tid']"
BY2,Folketal 1. januar,antal,2020-04-29T08:00:00,2010,2020,True,"['kommune', 'bystørrelse', 'alder', 'køn', 'tid']"
BEF4,Folketal 1. januar,antal,2020-04-01T08:00:00,1901,2020,True,"['øer', 'tid']"
HISB3,Nøgletal om befolkningen,antal,2021-02-12T08:00:00,1901,2021,True,"['bevægelsesart', 'tid']"
BEV22,Befolkningens udvikling (foreløbig opgørelse),antal,2021-02-11T08:00:00,2007K2,2020K4,True,"['område', 'bevægelsesart', 'køn', 'tid']"
BEV107,Befolkningens udvikling,antal,2021-02-11T08:00:00,2006,2020,True,"['område', 'bevægelsesart', 'køn', 'tid']"
GALDER,Gennemsnitsalder,gns.,2021-02-11T08:00:00,2005,2021,True,"['kommune', 'køn', 'tid']"
KMGALDER,Gennemsnitsalder,gns.,2021-02-11T08:00:00,2007,2021,True,"['sogn', 'køn', 'tid']"
KM1,Folketal den 1. i kvartalet,antal,2021-02-11T08:00:00,2007K1,2021K1,True,"['sogn', 'folkekirkemedlemsskab', 'tid']"
KM5,Folketal 1. januar,antal,2021-02-11T08:00:00,2007,2021,True,"['sogn', 'køn', 'alder', 'folkekirkemedlemsskab', 'tid']"
SOGN1,Folketal 1. januar,antal,2021-02-11T08:00:00,2010,2021,True,"['sogn', 'køn', 'alder', 'tid']"
SOGN10,Folketal 1. januar,antal,2020-09-16T08:00:00,1925,2020,True,"['sogn', 'tid']"
KMSTA003,Befolkningens udvikling,antal,2021-02-11T08:00:00,2015,2020,True,"['sogn', 'bevægelser', 'tid']"
FRDK120,Befolkningsfremskrivning 2020 for hele landet,antal,2020-05-27T08:00:00,2020,2060,True,"['herkomst', 'køn', 'alder', 'tid']"
FRLD120,Befolkningsfremskrivning 2020,antal,2020-05-27T08:00:00,2020,2045,True,"['område', 'alder', 'køn', 'tid']"
FRKM120,Befolkningsfremskrivning 2020,antal,2020-05-27T08:00:00,2020,2045,True,"['område', 'alder', 'køn', 'tid']"
FRDK220,Nøgletal 2020: Fremskrivning af befolkningens bevægelser,antal,2020-05-27T08:00:00,2020,2060,True,"['herkomst', 'bevægelsesart', 'tid']"
FRLD220,Nøgletal 2020: Fremskrivning af befolkningens bevægelse,antal,2020-05-27T08:00:00,2020,2045,True,"['område', 'bevægelsesart', 'tid']"
FRKM220,Nøgletal 2020: Fremskrivning af befolkningens bevægelser,antal,2020-05-27T08:00:00,2020,2045,True,"['område', 'bevægelsesart', 'tid']"
FRDK320,Forudsætninger vedrørende fertilitet til befolkningsfremskrivningen 2020,fertilitetskvotient,2020-05-27T08:00:00,2020,2059,True,"['alder', 'herkomst', 'tid']"
FRDK420,Forudsætninger vedrørende dødelighed til befolkningsfremskrivningen 2020,-,2020-05-27T08:00:00,2020,2059,True,"['køn', 'alder', 'dødelighedstavle', 'tid']"
FRDK520,Forudsætninger vedrørende vandringer til befolkningsfremskrivningen 2020,antal,2020-05-27T08:00:00,2020,2059,True,"['køn', 'alder', 'herkomst', 'bevægelse', 'tid']"
KMSTA001,Folketal 1. januar,antal,2021-02-11T08:00:00,2008,2021,True,"['sogn', 'herkomst', 'folkekirkemedlemsskab', 'tid']"
EB1,Børn af efterkommere 1. januar,antal,2021-02-11T08:00:00,2007,2021,True,"['Oprindelig herkomst', 'køn', 'alder', 'oprindelsesland', 'tid']"
EB3,Børn af efterkommere 1. januar,antal,2021-02-11T08:00:00,2007,2021,True,"['Oprindelig herkomst', 'køn', 'alder', 'oprindelsesland', 'område', 'tid']"
EB4,Folketal 1. januar,antal,2021-02-11T08:00:00,2008,2021,True,"['herkomst', 'køn', 'alder', 'oprindelsesland', 'område', 'tid']"
EB2,Børn af efterkommere 1. januar,antal,2021-02-11T08:00:00,2007,2021,True,"['Oprindelig herkomst', 'køn', 'alder', 'oprindelsesland', 'tid']"
DKSTAT,"Personer, der har skiftet til dansk statsborgerskab",antal,2021-02-11T08:00:00,1979,2020,True,"['køn', 'alder', 'tidligere statsborgerskab', 'tid']"
VAN5RKA,Asylansøgere (registreringstallet),antal,2021-02-18T08:00:00,2014K1,2020K4,True,"['statsborgerskab', 'køn', 'alder', 'tid']"
VAN5,Asylansøgere,antal,2021-02-18T08:00:00,1990K1,2020K4,True,"['statsborgerskab', 'asyltype', 'tid']"
VAN66KA,Opholdstilladelser (år),antal,2021-02-18T08:00:00,2014,2020,True,"['statsborgerskab', 'opholdstilladelse', 'køn', 'alder', 'tid']"
